epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,607.87,1.05783,1.18288,1.36089,0.6005,0.54084,0.54321,0.31283,1.74114,2.03009,2.20293,0.000494885,0.000494885,0.000494885
43,622.24,1.05471,1.15901,1.34957,0.48058,0.50102,0.48231,0.26345,1.77156,2.03073,2.21548,0.000486639,0.000486639,0.000486639
44,636.489,1.02506,1.15462,1.34347,0.5456,0.59429,0.59157,0.33502,1.70364,2.0013,2.13406,0.000478392,0.000478392,0.000478392
45,650.581,1.00656,1.15744,1.32083,0.62753,0.46016,0.52983,0.28987,1.80712,2.07646,2.30074,0.000470145,0.000470145,0.000470145
46,663.967,1.02341,1.14344,1.32731,0.48608,0.44608,0.45627,0.25941,1.73088,2.45561,2.22408,0.000461898,0.000461898,0.000461898
47,677.252,1.01708,1.14839,1.33386,0.70682,0.48597,0.55643,0.29752,1.66788,2.06474,2.11976,0.000453652,0.000453652,0.000453652
48,690.794,1.01595,1.09304,1.32452,0.69093,0.47676,0.57356,0.30861,1.70453,2.09882,2.16234,0.000445405,0.000445405,0.000445405
49,704.44,0.99965,1.08112,1.32157,0.52735,0.52873,0.53488,0.30057,1.72893,2.00631,2.16866,0.000437158,0.000437158,0.000437158
50,719.067,0.98167,1.05017,1.29493,0.59166,0.50267,0.56676,0.31636,1.60138,1.89661,2.08585,0.000428912,0.000428912,0.000428912
51,733.796,0.99432,1.0897,1.31627,0.58443,0.54517,0.55994,0.31631,1.6691,2.00518,2.15974,0.000420665,0.000420665,0.000420665
52,748.803,0.95271,1.05423,1.28938,0.52501,0.62894,0.54867,0.31665,1.69786,1.94509,2.2023,0.000412418,0.000412418,0.000412418
53,763.598,0.97055,1.0133,1.28618,0.58979,0.61163,0.5959,0.33749,1.6764,1.93939,2.18551,0.000404172,0.000404172,0.000404172
54,778.317,0.97529,1.03483,1.30066,0.5672,0.54843,0.5462,0.32597,1.63394,2.02884,2.13053,0.000395925,0.000395925,0.000395925
55,792.884,0.97376,1.03902,1.29238,0.48317,0.57984,0.52127,0.30023,1.73363,2.0733,2.25014,0.000387678,0.000387678,0.000387678
56,809.96,0.97833,0.99586,1.29473,0.479,0.53264,0.4964,0.29987,1.69818,2.07412,2.20366,0.000379431,0.000379431,0.000379431
57,826.223,0.96743,1.00896,1.27823,0.65355,0.47485,0.52024,0.28677,1.71911,2.06368,2.27592,0.000371185,0.000371185,0.000371185
58,842.598,0.92133,0.95214,1.25503,0.5968,0.54859,0.55723,0.32937,1.75134,1.91172,2.38532,0.000362938,0.000362938,0.000362938
59,859.25,0.92749,0.92176,1.24786,0.59119,0.60743,0.57468,0.32278,1.78148,1.92815,2.27456,0.000354691,0.000354691,0.000354691
60,874.756,0.91753,0.92394,1.25228,0.58316,0.49056,0.52368,0.30661,1.63268,2.05173,2.16287,0.000346445,0.000346445,0.000346445
61,890.827,0.91736,0.91922,1.23559,0.46615,0.55547,0.5343,0.32105,1.65213,2.11555,2.12515,0.000338198,0.000338198,0.000338198
62,907.395,0.91893,0.92696,1.24066,0.51876,0.55429,0.51366,0.28802,1.65757,2.35328,2.1385,0.000329951,0.000329951,0.000329951
63,923.051,0.90473,0.91653,1.23958,0.58462,0.56756,0.56406,0.31561,1.70666,1.99618,2.19044,0.000321705,0.000321705,0.000321705
64,939.976,0.88276,0.89578,1.2309,0.49413,0.57472,0.54447,0.2969,1.76898,2.03848,2.30078,0.000313458,0.000313458,0.000313458
65,956.863,0.90341,0.90803,1.24913,0.73251,0.48606,0.52829,0.2885,1.77417,2.16262,2.31101,0.000305211,0.000305211,0.000305211
66,971.637,0.88569,0.86971,1.23098,0.54309,0.51799,0.52326,0.30097,1.70545,1.99794,2.18774,0.000296964,0.000296964,0.000296964
67,987.782,0.86379,0.84991,1.21479,0.52075,0.60432,0.57397,0.32882,1.73495,1.94,2.22714,0.000288718,0.000288718,0.000288718
68,1005,0.85431,0.82673,1.20014,0.6301,0.55497,0.56536,0.33039,1.67829,1.9908,2.19669,0.000280471,0.000280471,0.000280471
69,1021.57,0.88027,0.8408,1.22848,0.68945,0.49481,0.55272,0.32899,1.64115,2.067,2.22402,0.000272224,0.000272224,0.000272224
70,1039.23,0.84789,0.81723,1.19777,0.61678,0.53359,0.55555,0.29967,1.81569,1.96015,2.37572,0.000263978,0.000263978,0.000263978
71,1056.88,0.86688,0.82222,1.20868,0.55582,0.61701,0.59733,0.32736,1.77893,1.91946,2.28743,0.000255731,0.000255731,0.000255731
72,1074.59,0.85617,0.82302,1.2086,0.62179,0.58475,0.57088,0.32439,1.76867,1.84096,2.37608,0.000247484,0.000247484,0.000247484
73,1091.01,0.86613,0.81472,1.19747,0.54032,0.53666,0.54108,0.29244,1.77409,2.14512,2.31537,0.000239238,0.000239238,0.000239238
74,1107.66,0.83955,0.80399,1.18201,0.54059,0.59627,0.56517,0.31638,1.69286,2.12597,2.19693,0.000230991,0.000230991,0.000230991
75,1124.5,0.81403,0.76992,1.17488,0.52744,0.59175,0.53831,0.30969,1.6999,2.03082,2.27068,0.000222744,0.000222744,0.000222744
76,1142.54,0.82939,0.78159,1.1837,0.54088,0.59521,0.56295,0.30608,1.69234,2.04399,2.19333,0.000214497,0.000214497,0.000214497
77,1158.94,0.83577,0.77268,1.18919,0.55797,0.53786,0.54951,0.33026,1.64973,1.9948,2.20936,0.000206251,0.000206251,0.000206251
78,1177.31,0.81882,0.77168,1.18592,0.54403,0.61602,0.56351,0.32894,1.66574,1.93006,2.22498,0.000198004,0.000198004,0.000198004
79,1194.29,0.80574,0.76171,1.17587,0.58202,0.55177,0.53525,0.31015,1.61317,1.98235,2.09829,0.000189757,0.000189757,0.000189757
80,1210.35,0.79308,0.74678,1.15043,0.54823,0.57796,0.54186,0.32133,1.63925,2.15731,2.20148,0.000181511,0.000181511,0.000181511
81,1224.81,0.80083,0.74007,1.17829,0.55249,0.56076,0.53559,0.31121,1.70359,2.07831,2.268,0.000173264,0.000173264,0.000173264
82,1241.74,0.79872,0.75162,1.16907,0.56148,0.60565,0.61391,0.34481,1.58945,2.0224,2.09202,0.000165017,0.000165017,0.000165017
83,1258.72,0.78686,0.7176,1.15846,0.63018,0.58575,0.57042,0.31904,1.58927,2.16736,2.08497,0.000156771,0.000156771,0.000156771
84,1277.08,0.78971,0.70779,1.15544,0.60751,0.53192,0.53776,0.30714,1.73032,1.98607,2.33777,0.000148524,0.000148524,0.000148524
85,1294.6,0.77467,0.71486,1.14424,0.61385,0.52255,0.54204,0.30979,1.65243,2.10828,2.18831,0.000140277,0.000140277,0.000140277
86,1314.14,0.76071,0.6849,1.14743,0.65417,0.52597,0.57728,0.3436,1.62643,1.96366,2.1863,0.000132031,0.000132031,0.000132031
87,1332.12,0.76521,0.70857,1.15713,0.55132,0.59516,0.58767,0.33949,1.6642,1.96433,2.22644,0.000123784,0.000123784,0.000123784
88,1351.58,0.75788,0.70074,1.14676,0.49795,0.60314,0.56767,0.34222,1.63798,2.05644,2.16958,0.000115537,0.000115537,0.000115537
89,1368.51,0.76269,0.69113,1.15106,0.60152,0.56077,0.58185,0.34158,1.65108,1.96225,2.23103,0.00010729,0.00010729,0.00010729
90,1385.47,0.75433,0.7012,1.13993,0.59219,0.54827,0.55005,0.33293,1.63571,2.02136,2.2202,9.90437e-05,9.90437e-05,9.90437e-05
91,1427.75,0.66167,0.55261,1.09662,0.63161,0.51533,0.56082,0.32556,1.65407,2.09415,2.2116,9.0797e-05,9.0797e-05,9.0797e-05
92,1443.51,0.61596,0.49508,1.08017,0.54818,0.63483,0.57947,0.34279,1.66042,1.93941,2.21041,8.25503e-05,8.25503e-05,8.25503e-05
93,1458.97,0.60861,0.48682,1.05897,0.59727,0.56744,0.55682,0.34524,1.6564,1.90445,2.24803,7.43036e-05,7.43036e-05,7.43036e-05
94,1474.29,0.59265,0.45668,1.06736,0.55471,0.60782,0.54725,0.32753,1.60446,1.97834,2.17409,6.60569e-05,6.60569e-05,6.60569e-05
95,1491.5,0.57716,0.44609,1.04529,0.62874,0.55463,0.55148,0.34069,1.61097,1.95597,2.18123,5.78102e-05,5.78102e-05,5.78102e-05
96,1508.19,0.57872,0.43498,1.05024,0.47185,0.57847,0.53092,0.31826,1.66854,2.09028,2.23616,4.95635e-05,4.95635e-05,4.95635e-05
97,1524.65,0.57252,0.42606,1.03361,0.58591,0.52913,0.53885,0.31677,1.66439,2.04938,2.26978,4.13168e-05,4.13168e-05,4.13168e-05
98,1539.85,0.58012,0.43955,1.03862,0.54784,0.57384,0.53214,0.3273,1.64527,2.0248,2.27316,3.30701e-05,3.30701e-05,3.30701e-05
99,1556.91,0.55392,0.41091,1.01324,0.56484,0.56166,0.54596,0.31339,1.62936,2.07055,2.23704,2.48234e-05,2.48234e-05,2.48234e-05
100,1573.41,0.55917,0.41641,1.03531,0.61249,0.54146,0.56083,0.3147,1.62811,2.08854,2.21137,1.65767e-05,1.65767e-05,1.65767e-05
